name,x,y,obverse_group,reverse_group
B\3157,4.990458,3.8645372,17,6
B\3165,11.814243,5.7255354,16,2
B\3166,5.6575437,4.9500666,2,2
B\3191,4.9710665,4.9395065,7,6
B\3193,5.8724775,2.3344283,11,3
B\3360,11.6829195,3.7989037,18,1
B\3424,7.748099,6.9052205,9,4
B\3428,10.316135,6.6185055,15,2
B\3431,10.087675,3.6187148,13,12
B\3434,9.4303465,4.9571514,15,14
B\3435,11.347126,5.955361,15,2
B\3582,1.9211776,7.059965,7,19
B\3585,2.286759,4.6913905,14,7
B\3586,2.877139,4.2398934,14,10
B\3588,2.6807382,3.9835606,14,19
B\3602,1.6563979,3.6380918,8,7
B\3606,1.2214619,3.9791827,10,19
B\3607,3.081689,4.3741255,14,18
B\3608,1.8464737,7.0540414,2,10
B\3615,3.7273374,5.3133116,14,8
B\3619,2.1386273,3.9768279,10,17
B\3686,4.4728284,7.4193444,7,19
B\3765,2.0688422,4.164041,10,7
B\3767,1.9518136,5.3018394,14,0
B\3768,3.7949781,6.156388,7,7
B\3878,3.8507423,6.215871,7,5
